nodes	links	mat-reg	mat-red	pcd-red	star-reg	star-red	deeps-min	
40	3.0	20409.72	16921.22	18952.74	19577.98	17446.96	31370.1	
40	6	24810.82	21562.04	24076.4	23603.28	21358.02	38885.3333333333	
40	12	28411.7	25932.24	29728.9	27274.46	25895.86	NaN	
40	24	30203.2	28896.52	30945.4	29558.6	28623.38	NaN	
120	3.0	60387.04	50356.12	56393.74	60639.2040816327	50851.46	127092.0625	
120	6	73303.9	63806.18	69066.46	71703.2653061225	63693.08	291034.5	
120	12	83555.58	76678.08	84089.86	82232.7551020408	76286.44	Infinity	
120	24	89952.34	85641.3	92688.3	87920.88	83959.14	NaN	
240	3.0	121680.88	100925.26	113465.2	122773.4375	104243.448979592	266919.888888889	
240	6	145195.74	125634.6	136984.64	144613.5625	125266.8	1502922.0	
240	12	167501.0	152539.22	162288.16	161601.56	150364.7	Infinity	
240	24	178601.44	169886.32	182234.48	174656.5	170904.979591837	NaN	
