nodes	links	mat-reg	mat-red	pcd-red	star-reg	star-red	deeps-min	
40	3.0	7.82	12.48	1.2	39.98	45.34	2.1	
40	6	9.74	13.36	1.36	37.34	43.14	2.0	
40	12	11.24	15.66	1.0	35.46	42.08	NaN	
40	24	12.8	16.7	1.0	35.82	39.32	NaN	
120	3.0	10.06	13.78	1.7	54.3877551020408	57.2	2.25	
120	6	11.38	15.64	2.0	53.8775510204082	53.38	3.5	
120	12	12.76	16.92	1.94	45.4081632653061	51.92	NaN	
120	24	14.96	18.98	1.0	42.7	43.36	NaN	
240	3.0	10.6	14.9	1.94	65.0833333333333	63.1224489795918	3.05555555555556	
240	6	12.36	16.24	2.04	55.9791666666667	61.54	3.0	
240	12	13.9	18.56	2.86	55.94	54.82	NaN	
240	24	15.96	20.38	1.04	46.46	50.8367346938776	NaN	
