nodes	links	cost	pcd-step	pcd-run	deeps-step	deeps-run	match-step	match-run	
20	2	0	899.6	868.6	1216.6	892.4	777.4	699.2	
20	2	50	544.1	850.5	665.3	907.7	539.1	748.5	
20	2	100	410.4	818.5	437.3	898.8	379.6	732.6	
20	3.0	0	725.2	721.1	1084.1	803.7	738.0	696.2	
20	3.0	50	483.8	729.2	623.6	794.1	491.5	691.6	
20	3.0	100	362.2	719.8	427.6	812.8	368.7	697.4	
20	6	0	661.9	663.5	993.7	740.9	711.5	658.0	
20	6	50	435.9	653.8	582.0	731.0	455.1	664.1	
20	6	100	330.4	661.9	406.8	727.5	341.1	665.6	
40	2	0	732.6	725.4	1173.7	824.3	728.0	684.7	
40	2	50	511.6	758.2	637.1	863.7	481.8	673.0	
40	2	100	380.3	761.6	431.5	851.7	362.3	693.4	
40	3.0	0	707.4	696.7	1109.0	753.5	706.8	663.7	
40	3.0	50	468.2	694.6	615.2	797.8	470.4	659.2	
40	3.0	100	354.0	706.6	420.3	784.6	352.2	657.5	
40	6	0	659.0	658.4	985.9	702.6	690.7	649.5	
40	6	50	436.4	657.7	570.9	711.5	453.8	649.5	
40	6	100	325.0	648.1	400.9	711.6	330.6	640.0	
80	2	0	704.4	702.0	1177.2	820.4	710.4	658.9	
80	2	50	486.0	726.0	626.3	818.0	450.6	656.2	
80	2	100	358.5	717.9	421.8	798.3	340.3	660.6	
80	3.0	0	671.5	665.8	1091.4	763.8	671.1	642.1	
80	3.0	50	451.8	665.7	608.0	754.4	451.3	638.9	
80	3.0	100	337.4	676.2	414.2	750.6	339.7	648.7	
80	6	0	647.2	645.1	993.9	702.4	669.9	634.6	
80	6	50	423.6	633.3	567.5	683.3	430.2	625.5	
80	6	100	319.2	635.4	398.9	690.6	325.4	631.4	
